country	Gender	Mean	N=
at	Male	7.3	471
at	Female	7.3	570
at	Both	7.3	1041
be	Male	7.8	468
be	Female	7.8	542
be	Both	7.8	1010
bg	Male	5.8	416
bg	Female	5.8	555
bg	Both	5.8	971
cy	Male	7.8	433
cy	Female	7.5	569
cy	Both	7.7	1002
cz	Male	7.6	462
cz	Female	7.4	759
cz	Both	7.5	1221
de	Male	7.5	916
de	Female	7.5	1087
de	Both	7.5	2003
dk	Male	8.3	447
dk	Female	8.3	550
dk	Both	8.3	997
ee	Male	7.4	402
ee	Female	7.3	615
ee	Both	7.4	1017
gr	Male	7.4	436
gr	Female	7.3	564
gr	Both	7.3	1000
es	Male	7.7	498
es	Female	7.5	515
es	Both	7.6	1013
fi	Male	8.2	463
fi	Female	8.4	538
fi	Both	8.3	1001
fr	Male	7.8	630
fr	Female	7.8	899
fr	Both	7.8	1529
hr	Male	7	384
hr	Female	6.9	598
hr	Both	7	982
hu	Male	7.1	386
hu	Female	6.9	612
hu	Both	7	998
ie	Male	8	400
ie	Female	8.1	596
ie	Both	8	996
it	Male	7.1	533
it	Female	6.9	973
it	Both	7	1506
lt	Male	7.3	375
lt	Female	7.2	622
lt	Both	7.3	997
lu	Male	8.1	425
lu	Female	8	576
lu	Both	8	1001
lv	Male	6.9	379
lv	Female	6.8	611
lv	Both	6.8	990
mk	Male	6.3	470
mk	Female	6.2	510
mk	Both	6.3	980
mt	Male	8	498
mt	Female	7.8	493
mt	Both	7.9	991
nl	Male	8	481
nl	Female	8	529
nl	Both	8	1010
no	Male	8	462
no	Female	8.1	530
no	Both	8.1	992
pl	Male	7.4	604
pl	Female	7.3	884
pl	Both	7.4	1488
pt	Male	7	477
pt	Female	6.8	521
pt	Both	6.9	998
ro	Male	7.1	472
ro	Female	7	525
ro	Both	7	997
se	Male	8.2	492
se	Female	8.2	519
se	Both	8.2	1011
si	Male	7.7	426
si	Female	7.6	602
si	Both	7.7	1028
sk	Male	7.5	435
sk	Female	7.6	684
sk	Both	7.5	1119
tr	Male	6.6	874
tr	Female	6.6	1118
tr	Both	6.6	1992
uk	Male	7.7	643
uk	Female	7.9	856
uk	Both	7.8	1499
cc3	Male	6.6	1728
cc3	Female	6.6	2226
cc3	Both	6.6	3954
eu	15	Male	7.6
eu	15	Female	7.6
eu	15	Both	7.6
nms12	Male	7.2	5288
nms12	Female	7.1	7531
nms12	Both	7.2	12819
eu	27	Male	7.5
eu	27	Female	7.5
eu	27	Both	7.5
